,ODO % sat_chesa,ODO mg/L_chesa,Temp °C_chesa,SpCond µS/cm_chesa,Turbidity NTU_chesa,pH_chesa,ORP mV_chesa,Depth m_chesa,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,Discharge,Gage height
2018-01-22 12:00:00,122.2,16.825,1.3433333333333335,162.66666666666666,13.835,6.195,296.3333333333333,1.0,107.08333333333333,7.283333333333334,1.5983333333333334,138.73333333333332,19.10666666666667,6.4750000000000005,159.5,1.0,8814.166666666666,18.48541666666667
2018-01-22 18:00:00,123.58333333333333,16.871666666666666,1.6566666666666665,163.1,12.590000000000002,6.245,295.4166666666667,1.0,107.95,7.1883333333333335,1.9599999999999997,140.6,17.016666666666666,6.553333333333332,160.88333333333333,1.0,9453.333333333334,18.571249999999996
2018-01-23 00:00:00,123.86666666666667,16.806666666666665,1.8866666666666665,163.45000000000002,12.521666666666667,6.271666666666667,295.1666666666667,1.0,107.61666666666666,6.951666666666667,2.1350000000000002,144.73333333333332,16.276666666666667,6.513333333333333,156.7,1.0,8123.75,18.361250000000005
2018-01-23 06:00:00,122.48333333333333,16.496666666666666,2.1533333333333338,163.86666666666667,13.066666666666668,6.296666666666667,295.73333333333335,1.0,107.16666666666667,6.738333333333333,2.2333333333333334,148.56666666666666,14.708333333333334,6.521666666666667,156.03333333333333,1.0,8968.75,18.576249999999998
2018-01-23 12:00:00,121.33333333333331,16.285,2.2833333333333337,166.48333333333335,13.086666666666666,6.325,297.73333333333335,1.0,106.56666666666666,6.4799999999999995,2.138333333333333,154.21666666666667,14.316666666666668,6.583333333333332,156.61666666666667,1.0,9572.5,18.461666666666662
2018-01-23 18:00:00,121.50000000000001,16.206666666666667,2.5016666666666665,172.13333333333335,14.103333333333333,6.338333333333334,298.48333333333335,1.0,106.56666666666666,6.378333333333334,2.2383333333333333,156.20000000000002,13.506666666666668,6.633333333333333,158.0,1.0,10938.75,18.515416666666663
2018-01-24 00:00:00,121.30000000000001,16.173333333333332,2.521666666666667,173.30000000000004,13.574999999999998,6.338333333333334,300.48333333333335,1.0,106.46666666666665,6.294999999999999,2.285,157.98333333333332,13.795,6.591666666666666,154.61666666666667,1.0,8711.25,18.50375
2018-01-24 06:00:00,119.81666666666666,15.935,2.6216666666666666,169.21666666666667,13.735,6.338333333333334,301.34999999999997,1.0,106.38333333333334,6.345,2.403333333333333,156.04999999999998,11.88,6.590000000000001,155.53333333333333,1.0,11388.333333333334,18.694166666666664
2018-01-24 12:00:00,118.86666666666666,15.718333333333334,2.8350000000000004,170.9,12.975,6.341666666666666,302.31666666666666,1.0,105.38333333333333,6.333333333333333,2.415,154.85,11.726666666666667,6.588333333333332,156.98333333333335,1.0,10866.666666666666,18.394166666666674
2018-01-24 18:00:00,120.13333333333333,15.765,3.1116666666666664,171.10000000000002,12.545000000000002,6.396666666666667,301.0833333333333,1.0,104.96666666666665,6.253333333333334,2.528333333333333,155.71666666666667,11.081666666666665,6.611666666666667,159.46666666666667,1.0,10737.5,18.492083333333337
2018-01-25 00:00:00,118.09999999999998,15.445,3.2516666666666665,171.33333333333334,12.891666666666666,6.4316666666666675,300.96666666666664,1.0,104.51666666666667,6.173333333333333,2.545,157.01666666666668,10.713333333333333,6.588333333333334,158.23333333333335,1.0,12766.666666666666,18.787916666666668
2018-01-25 06:00:00,116.28333333333332,15.211666666666668,3.235,171.11666666666667,11.991666666666667,6.3999999999999995,305.68333333333334,1.0,103.66666666666667,6.126666666666666,2.6033333333333335,156.66666666666666,10.746666666666664,6.581666666666666,158.9333333333333,1.0,11287.5,18.648750000000003
2018-01-25 12:00:00,116.60000000000001,15.231666666666664,3.28,173.5833333333333,10.89,6.436666666666667,308.6666666666667,1.0,104.01666666666665,6.164999999999999,2.75,155.54999999999998,10.468333333333332,6.6933333333333325,162.76666666666668,1.0,11362.5,18.511250000000004
2018-01-25 18:00:00,117.63333333333333,15.253333333333332,3.565,172.33333333333334,10.431666666666667,6.496666666666667,310.13333333333327,1.0,104.66666666666667,6.128333333333334,3.233333333333333,155.63333333333333,9.866666666666667,6.838333333333334,169.9,1.0,11354.166666666666,18.38
2018-01-26 00:00:00,117.01666666666665,15.225,3.44,170.9666666666667,12.015,6.435,311.7,1.0,103.06666666666668,6.021666666666667,3.3516666666666666,155.48333333333332,9.596666666666666,6.671666666666667,162.4,1.0,10494.583333333334,18.44458333333333
2018-01-26 06:00:00,117.19999999999999,15.318333333333335,3.27,171.19999999999996,11.705,6.3933333333333335,317.73333333333335,1.0,102.13333333333333,6.010000000000001,3.316666666666667,154.5,8.726666666666667,6.671666666666667,163.45000000000002,1.0,11020.833333333334,18.62541666666667
