Date-Time,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,ODO % sat_pocat,ODO mg/L_pocat,Temp °C_pocat,SpCond µS/cm_pocat,Turbidity NTU_pocat,pH_pocat,ORP mV_pocat,Depth m_pocat
2018-01-20 18:00:00,108.60000000000002,8.178333333333333,1.1900000000000002,123.68333333333334,23.751666666666665,6.596666666666667,166.33333333333334,1.0,105.01666666666667,6.366666666666667,1.3583333333333332,157.7,43.035,3.5500000000000003,287.05,1
2018-01-21 00:00:00,108.91666666666667,7.998333333333334,1.2733333333333334,127.56666666666668,23.868333333333336,6.43,158.73333333333332,1.0,104.01666666666665,5.933333333333333,1.1966666666666665,167.54999999999998,42.49333333333333,2.5366666666666666,293.5833333333333,1
2018-01-21 06:00:00,109.10000000000001,7.81,1.4749999999999999,130.9,23.135,6.436666666666667,157.95000000000002,1.0,103.16666666666667,6.013333333333333,1.24,164.15,44.18166666666667,2.335,300.28333333333336,1
2018-01-21 12:00:00,108.91666666666667,7.723333333333334,1.5233333333333334,132.26666666666668,20.76,6.461666666666666,158.51666666666665,1.0,103.39999999999999,5.776666666666666,1.3016666666666667,170.16666666666666,43.10833333333333,2.325,302.93333333333334,1
2018-01-21 18:00:00,109.31666666666666,7.641666666666667,1.6866666666666668,133.85000000000002,21.814999999999998,6.503333333333334,160.35,1.0,102.83333333333333,5.345,1.4566666666666668,179.9666666666667,39.660000000000004,2.8249999999999997,282.7,1
2018-01-22 00:00:00,108.26666666666665,7.5,1.6483333333333334,135.48333333333335,22.10666666666667,6.453333333333333,158.28333333333333,1.0,102.18333333333334,4.973333333333334,1.4216666666666666,189.31666666666663,35.163333333333334,2.2933333333333334,289.9833333333333,1
2018-01-22 06:00:00,107.33333333333333,7.359999999999999,1.566666666666667,137.58333333333331,20.53166666666667,6.438333333333333,158.31666666666663,1.0,101.5,4.461666666666667,1.3716666666666668,203.35000000000002,27.774999999999995,2.143333333333333,289.75,1
2018-01-22 12:00:00,107.08333333333333,7.283333333333334,1.5983333333333334,138.73333333333332,19.10666666666667,6.4750000000000005,159.5,1.0,102.08333333333333,4.398333333333333,1.4400000000000002,205.63333333333333,29.00166666666667,2.276666666666667,282.8333333333333,1
2018-01-22 18:00:00,107.95,7.1883333333333335,1.9599999999999997,140.6,17.016666666666666,6.553333333333332,160.88333333333333,1.0,103.66666666666667,4.46,1.7249999999999999,204.85,27.085000000000004,2.706666666666667,278.45,1
2018-01-23 00:00:00,107.61666666666666,6.951666666666667,2.1350000000000002,144.73333333333332,16.276666666666667,6.513333333333333,156.7,1.0,102.28333333333335,4.241666666666666,1.7833333333333332,209.29999999999998,25.298333333333332,2.188333333333333,293.8833333333334,1
2018-01-23 06:00:00,107.16666666666667,6.738333333333333,2.2333333333333334,148.56666666666666,14.708333333333334,6.521666666666667,156.03333333333333,1.0,102.93333333333334,4.335,2.0083333333333333,206.51666666666665,24.865,2.253333333333333,301.73333333333335,1
2018-01-23 12:00:00,106.56666666666666,6.4799999999999995,2.138333333333333,154.21666666666667,14.316666666666668,6.583333333333332,156.61666666666667,1.0,101.63333333333333,4.235,1.963333333333333,208.13333333333335,23.939999999999998,2.3866666666666667,299.18333333333334,1
2018-01-23 18:00:00,106.56666666666666,6.378333333333334,2.2383333333333333,156.20000000000002,13.506666666666668,6.633333333333333,158.0,1.0,103.55,4.378333333333334,2.3233333333333337,204.91666666666666,21.533333333333335,2.848333333333333,276.09999999999997,1
2018-01-24 00:00:00,106.46666666666665,6.294999999999999,2.285,157.98333333333332,13.795,6.591666666666666,154.61666666666667,1.0,102.53333333333335,4.14,2.19,211.38333333333333,20.018333333333334,2.47,290.9166666666667,1
2018-01-24 06:00:00,106.38333333333334,6.345,2.403333333333333,156.04999999999998,11.88,6.590000000000001,155.53333333333333,1.0,101.60000000000001,4.083333333333333,2.2033333333333336,211.85,21.738333333333333,2.435,302.5,1
2018-01-24 12:00:00,105.38333333333333,6.333333333333333,2.415,154.85,11.726666666666667,6.588333333333332,156.98333333333335,1.0,101.66666666666667,4.12,2.396666666666667,210.1833333333333,20.588333333333335,2.465,296.2333333333333,1
2018-01-24 18:00:00,104.96666666666665,6.253333333333334,2.528333333333333,155.71666666666667,11.081666666666665,6.611666666666667,159.46666666666667,1.0,101.43333333333334,3.941666666666667,2.566666666666667,214.96666666666667,19.288333333333334,2.733333333333334,295.5833333333333,1
2018-01-25 00:00:00,104.51666666666667,6.173333333333333,2.545,157.01666666666668,10.713333333333333,6.588333333333334,158.23333333333335,1.0,101.05000000000001,3.7349999999999994,2.6799999999999997,220.86666666666667,19.27,2.6433333333333335,302.45,1
2018-01-25 06:00:00,103.66666666666667,6.126666666666666,2.6033333333333335,156.66666666666666,10.746666666666664,6.581666666666666,158.9333333333333,1.0,100.51666666666667,3.7899999999999996,2.635,218.5,19.206666666666667,2.645,303.63333333333327,1
2018-01-25 12:00:00,104.01666666666665,6.164999999999999,2.75,155.54999999999998,10.468333333333332,6.6933333333333325,162.76666666666668,1.0,100.31666666666666,3.7833333333333337,2.663333333333333,218.36666666666667,18.993333333333332,3.0050000000000003,291.26666666666665,1
2018-01-25 18:00:00,104.66666666666667,6.128333333333334,3.233333333333333,155.63333333333333,9.866666666666667,6.838333333333334,169.9,1.0,102.21666666666668,3.9916666666666676,3.1283333333333334,212.5,17.758333333333333,4.141666666666667,285.2666666666667,1
2018-01-26 00:00:00,103.06666666666668,6.021666666666667,3.3516666666666666,155.48333333333332,9.596666666666666,6.671666666666667,162.4,1.0,100.81666666666666,3.733333333333333,3.0866666666666664,219.26666666666668,17.71,3.0150000000000006,299.26666666666665,1
2018-01-26 06:00:00,102.13333333333333,6.010000000000001,3.316666666666667,154.5,8.726666666666667,6.671666666666667,163.45000000000002,1.0,100.25,3.75,2.9933333333333336,218.36666666666667,17.146666666666665,2.9666666666666663,309.8333333333333,1
